nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol)
1-bromo-2-chloro-ethane,mobley_7768165,-1.95,0.02,-1.95,0.60,-0.15297541332392173,0.2509449963250966
2-bromo-2-methyl-propane,mobley_7769613,0.84,0.02,0.84,0.60,5.726570935272228,0.29485829940501235
N-methylaniline,mobley_7774695,-4.69,0.03,-4.69,0.60,-2.630391504805569,0.3874636852897837
2-methylbut-2-ene,mobley_778352,1.31,0.02,1.31,0.60,4.201789862787441,0.27682668792063314
5-trifluoromethyluracil,mobley_7794077,-15.46,0.07,-15.46,0.16,-16.699877026841875,27.331916937248746
"1,2,4-trichlorobenzene",mobley_7814642,-1.12,0.02,-1.12,0.60,-3.9640536702058435,0.29487527035678734
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",mobley_7829570,-3.51,0.04,-3.51,1.93,NA,NA
heptanal,mobley_7859387,-2.67,0.03,-2.67,0.60,-8.243036504480319,0.34215015557327866
N-butylbutan-1-amine,mobley_7860938,-3.24,0.03,-3.24,0.60,-0.11095489128655922,0.441203680573511
[(2S)-butan-2-yl] nitrate,mobley_7869158,-1.82,0.02,-1.82,0.10,NA,NA
tert-butylbenzene,mobley_7893124,-0.44,0.03,-0.44,0.60,-9.52777462782467,0.3885359342702373
butyl paraben,mobley_7912193,-8.72,0.06,-8.72,0.27,NA,NA
1-butoxy-2-propanol,mobley_7913234,-5.73,0.02,-5.73,0.15,5.1001072440690685,0.6591978578773663
ethyl propanoate,mobley_7943327,-2.68,0.02,-2.68,0.60,-20.025242393015468,0.41495136354186934
hexan-3-ol,mobley_7977115,-4.06,0.02,-4.06,0.60,-3.7980239739040966,0.40631314078006797
2-methylbutan-1-ol,mobley_7983227,-4.42,0.02,-4.42,0.60,-6.966534189447461,0.3813493852869462
4-hydroxybenzaldehyde,mobley_7988076,-8.83,0.03,-8.83,0.60,-18.875140776560208,0.4790212054935858
cyclopentane,mobley_8006582,1.20,0.02,1.20,0.60,4.239731330201296,0.3041605583622432
"N,N-dimethylformamide",mobley_8011706,-7.81,0.03,-7.81,0.60,-17.220324258262586,0.389458542549651
acetamide,mobley_8048190,-9.71,0.03,-9.71,0.60,3.8130372343922563,0.3710576309871832
"1-amino-9,10-anthracenedione",mobley_8052240,-9.44,0.02,-9.44,0.74,-55.37959391179382,0.9145233824616709
3-chlorophenol,mobley_8057732,-6.62,0.03,-6.62,0.60,2.9126118091478794,0.38579595598596944
endrin,mobley_8117218,-4.82,0.07,-4.82,0.10,-87.96252500568936,0.4671503134494451
prop-2-en-1-ol,mobley_8118832,-5.03,0.03,-5.03,0.60,-0.5613156223401656,0.40982622580103295
alachlor,mobley_8124669,-8.21,0.05,-8.21,0.29,NA,NA
ethylbenzene,mobley_8127829,-0.79,0.02,-0.79,0.60,-4.523004404975561,0.3342223084045693
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",mobley_819018,-4.45,0.02,-4.45,0.24,4.422439289047486,0.49302183526228893
"2-chloro-1,1,1-trifluoro-ethane",mobley_8191186,0.06,0.02,0.06,0.60,-0.6248538682680016,0.2644072628870159
simazine,mobley_8207196,-10.22,0.04,-10.22,0.10,-61.064054903534554,0.7949687192000231
butyric acid,mobley_820789,-6.35,0.03,-6.35,0.60,-10.494565619741227,0.4087349959396483
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",mobley_8208692,-4.61,0.05,-4.61,0.25,-11.21132006288499,1.039246597808715
butanenitrile,mobley_8221999,-3.64,0.02,-3.64,0.60,-2.1082455237507385,0.31000505935205425
prop-1-yne,mobley_8260524,-0.48,0.01,-0.48,0.60,1.4199029080508516,0.25429730864823774
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",mobley_8311303,-4.38,0.04,-4.38,0.22,-15.590022199953978,0.4056015243945565
chloro-difluoro-methane,mobley_8311321,-0.50,0.02,-0.50,0.60,-0.9550324294999772,0.2294108465935309
1-nitroethane,mobley_8320545,-3.71,0.02,-3.71,0.60,-8.47867108566508,0.25846674991904517
"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",mobley_8337722,-3.20,0.02,-3.20,0.28,-73.92751090570893,0.5124966362393845
4-methylpentan-2-one,mobley_8337977,-3.05,0.02,-3.05,0.60,0.34106750566680066,0.40606215110701444
N-ethylethanamine,mobley_8426916,-4.07,0.02,-4.07,0.60,6.01743823541339,0.3098060721791822
propionamide,mobley_8427539,-9.40,0.10,-9.40,0.20,-11.024225099722365,0.400840190464073
"2,4-dimethylpentane",mobley_8436428,2.83,0.03,2.83,0.60,-1.569994704120763,0.2991529700370223
"N,N-diethylethanamine",mobley_8449031,-3.22,0.03,-3.22,0.60,1.9771747696275872,0.33623637967440456
hept-2-ene,mobley_8467917,1.68,0.02,1.68,0.60,2.7982373095571953,0.3363798047762185
pentanal,mobley_8492526,-3.03,0.02,-3.03,0.60,-4.63188498870191,0.3079996225172185
pentyl acetate,mobley_8514745,-2.51,0.03,-2.51,0.60,-7.620011962724161,0.4566535623009235
oct-1-yne,mobley_8522124,0.71,0.03,0.71,0.60,0.7686250163502386,0.3810120118336129
1-iodopentane,mobley_8525830,-0.14,0.02,-0.14,0.60,-1.5269038350709772,0.3499891857249782
4-fluorophenol,mobley_852937,-6.19,0.03,-6.19,0.60,-0.4024613256822174,0.4409309376540021
4-methylmorpholine,mobley_8558116,-6.32,0.03,-6.32,0.60,-0.34524495924132137,0.42186118601500344
butanal,mobley_8573194,-3.18,0.02,-3.18,0.60,-5.905372981796013,0.31715134923578786
methylsulfinylmethane,mobley_8578590,-9.28,0.03,-9.28,0.57,-2.254144111697027,0.3515614988719649
isobutyl acetate,mobley_859464,-2.36,0.02,-2.36,0.60,-13.603584511438934,0.3403980780368124
heptane,mobley_8614858,2.67,0.02,2.67,0.60,3.2183512245729675,0.302673980782754
"2,3-dimethylpentane",mobley_8668219,2.52,0.03,2.52,0.60,-1.2952980394070288,0.27902627660988677
"2-bromo-1,1,1,2-tetrafluoro-ethane",mobley_8685905,0.50,0.02,0.50,0.60,-0.7517044213209878,0.23836495784498654
m-cresol,mobley_8691603,-5.49,0.03,-5.49,0.60,2.4746753123662693,0.37819337249451307
N-isopropylpropan-2-amine,mobley_8705848,-3.22,0.02,-3.22,0.60,17.529512565950434,0.355063088915678
"N,N-dipropyl(propylsulfanyl)formamide",mobley_8713762,-4.13,0.04,-4.13,1.36,-41.160062903841904,0.48737306708730566
4-chloroaniline,mobley_8723116,-5.90,0.02,-5.90,0.60,2.301322802204854,0.32579652656863684
3-methylbutan-2-one,mobley_8739734,-3.24,0.02,-3.24,0.60,-14.345189935311277,0.37950156209913144
"2,3-dimethylpyridine",mobley_8746821,-4.82,0.02,-4.82,0.60,-11.120648145499533,0.39204077003897925
propyl formate,mobley_8754702,-2.48,0.02,-2.48,0.60,-10.422369069615076,0.3676323979041633
pyridine-3-carbonitrile,mobley_8764620,-6.75,0.02,-6.75,0.60,-16.18891630944142,0.3873330398783227
isoprene,mobley_8765203,0.68,0.02,0.68,0.60,4.191872463959341,0.2907098147794951
1-iodobutane,mobley_8772587,-0.25,0.02,-0.25,0.60,3.064461713833514,0.3036737812725888
"2,5-dimethyltetrahydrofuran",mobley_8785107,-2.92,0.02,-2.92,0.60,-0.17872470763406434,0.3743904941109171
2-iodophenol,mobley_8789465,-6.20,0.03,-6.20,0.60,-13.888317396698065,0.4437389384081837
"3,3,3-trimethoxypropanenitrile",mobley_8789864,-6.40,0.04,-6.40,0.60,NA,NA
pyridine-4-carbaldehyde,mobley_8798016,-7.00,0.03,-7.00,0.60,-9.776231393353143,0.42671168441028623
butylbenzene,mobley_8809190,-0.40,0.02,-0.40,0.60,-9.464402414102647,0.3142917284054405
trifluoromethylbenzene,mobley_8809274,-0.25,0.02,-0.25,0.60,-22.091236123771786,0.31909822803193577
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",mobley_8823527,-3.61,0.03,-3.61,0.13,-11.256688271100243,0.45807073035789997
"1,2,4-trichlorodibenzo-p-dioxin",mobley_8827942,-4.05,0.03,-4.05,0.10,-16.201957805960305,0.46794993905935495
"2,4-dimethylpyridine",mobley_8861672,-4.86,0.02,-4.86,0.60,NA,NA
tetrahydrofuran,mobley_8882696,-3.47,0.02,-3.47,0.60,,
2-methylbenzaldehyde,mobley_8883511,-3.93,0.02,-3.93,0.10,,
cyclopentene,mobley_8885088,0.56,0.02,0.56,0.60,,
cyclopentanol,mobley_8899867,-5.49,0.02,-5.49,0.60,,
diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate,mobley_8916409,-8.15,0.05,-8.15,0.21,,
2-methylpyrazine,mobley_8966374,-5.51,0.03,-5.51,0.60,,
bromomethane,mobley_8983100,-0.82,0.01,-0.82,0.60,,
"2,3-dimethylbuta-1,3-diene",mobley_900088,0.40,0.02,0.40,0.60,,
naphthalen-1-yl N-methylcarbamate,mobley_9007496,-9.45,0.04,-9.45,0.10,,
1-bromooctane,mobley_9015240,0.52,0.03,0.52,0.60,,
"methyl 2,2,2-trifluoroacetate",mobley_9028462,-1.10,0.02,-1.10,0.60,,
butyl nitrate,mobley_902954,-2.09,0.02,-2.09,0.10,,
fluoromethane,mobley_9029594,-0.22,0.01,-0.22,0.60,0.1252681400198581,0.19371982864798112
methane,mobley_9055303,2.00,0.10,2.00,0.20,1.7340537707958557,0.1423825189593347
methylsulfanylmethane,mobley_9073553,-1.61,0.02,-1.61,0.60,2.6688811693570305,0.2594483996571737
methylcyclohexane,mobley_9100956,1.70,0.02,1.70,0.60,2.058195231153486,0.27432843284739883
pent-2-ene,mobley_9112978,1.31,0.02,1.31,0.60,NA,NA
methyl 2-cyanoacetate,mobley_9114381,-6.72,0.02,-6.72,0.60,-12.848896006244617,0.4424762473234875
but-1-yne,mobley_9121449,-0.16,0.02,-0.16,0.60,-0.11261056568547334,0.2592745556900955
"1,4-dimethylcyclohexane",mobley_9139060,2.11,0.02,2.11,0.60,1.0579253379532947,0.32062749846726185
propan-1-amine,mobley_9185328,-4.39,0.02,-4.39,0.60,-0.6484225864207993,0.3408420709132997
oct-1-ene,mobley_9197172,1.92,0.03,1.92,0.60,1.8813110656168233,0.34263056833957484
methyl methanesulfonate,mobley_9201263,-4.87,0.03,-4.87,0.60,-18.437491704318468,0.41217976118760913
"N,N-dimethylmethanamine",mobley_9209581,-3.20,0.02,-3.20,0.60,-0.5546126876381536,0.2933169299042521
"penta-1,4-diene",mobley_9246215,0.93,0.02,0.93,0.60,0.8769113174283885,0.2671938674453405
dibromomethane,mobley_9246351,-1.96,0.02,-1.96,0.60,-1.3047312742544004,0.23729138912666353
"3,4-dichlorophenol",mobley_9257453,-7.29,0.02,-7.29,0.10,0.8936028085947916,0.40947412670783095
diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,mobley_9281946,-6.74,0.04,-6.74,0.10,NA,NA
1-bromohexane,mobley_929676,0.18,0.02,0.18,0.60,0.5945400158206207,0.3421786329738066
octan-2-one,mobley_9407874,-2.88,0.03,-2.88,0.60,-7.285209009578235,0.39567895694445004
1-methylnaphthalene,mobley_9414831,-2.44,0.02,-2.44,0.60,-12.779091064188751,0.3857202214877461
2-bromopropane,mobley_9434451,-0.48,0.02,-0.48,0.60,2.0053249796475265,0.2839099074132689
diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,mobley_9460824,-4.37,0.04,-4.37,0.10,-57.58295018658124,0.6246110898372087
o-xylene,mobley_9478823,-0.90,0.02,-0.90,0.60,-4.093955573721889,0.35387945687891287
"2,5-dimethylpyridine",mobley_9507933,-4.72,0.02,-4.72,0.60,-9.65402160526066,0.36923044771828817
"1,2,3,4-tetrachloro-5-phenyl-benzene",mobley_9510785,-3.48,0.03,-3.48,1.00,-12.630599925151179,0.4476732408545864
piperazine,mobley_951560,-7.40,0.03,-7.40,0.60,-34.296894676706195,0.43185936098165756
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",mobley_9534740,-25.47,0.09,-25.47,0.22,-33.944416080399634,1.8832696977595258
5-chlorouracil,mobley_9557440,-17.74,0.06,-17.74,0.78,-6.704895594680522,1.0135696393977498
9H-fluorene,mobley_9565165,-3.35,0.02,-3.35,0.60,-16.190814251947508,0.5173694576530723
endosulfan alpha,mobley_9571888,-4.23,0.04,-4.23,0.26,-25.766717311988934,0.46709507516635024
decan-2-one,mobley_9617923,-2.34,0.03,-2.34,0.60,-7.4934581133472795,0.45393457120882885
"1,3-dichloropropane",mobley_9624458,-1.89,0.02,-1.89,0.60,-3.6110971365998146,0.30589701092057703
2-ethoxyethanol,mobley_9626434,-6.69,0.03,-6.69,0.60,-4.140075979744646,0.4887539099722743
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",mobley_9653690,-4.44,0.02,-4.44,0.43,-18.8996752817669,0.5066003975856893
2-nitropropane,mobley_967099,-3.13,0.02,-3.13,0.60,-11.452752787426698,0.3148242800447639
1-nitropropane,mobley_9671033,-3.34,0.02,-3.34,0.60,-5.182208256489906,0.27401116422453914
2-methylthiophene,mobley_9705941,-1.38,0.02,-1.38,0.60,2.097198442761529,0.2997984558326974
1-chloro-2-phenyl-benzene,mobley_9717937,-2.69,0.03,-2.69,0.10,-17.95910417833102,0.4895022858808138
"cyclohepta-1,3,5-triene",mobley_9729792,-0.99,0.02,-0.99,0.60,-3.1580976219704993,0.2950449472163426
butan-1-amine,mobley_9733743,-4.24,0.02,-4.24,0.60,-0.1430210707530044,0.39641795760358794
dichlobenil,mobley_9740891,-4.71,0.02,-4.71,1.93,-5.2016276927734,0.41225587895932636
"1,3-bis-(nitrooxy)butane",mobley_9741965,-4.29,0.02,-4.29,0.39,-19.232696183273298,0.754239140861678
2-methoxy-2-methyl-propane,mobley_9794857,-2.21,0.02,-2.21,0.60,2.7505348960411222,0.3253326004770792
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",mobley_9821936,-4.53,0.04,-4.53,1.00,-12.423265381971472,0.33169505445836933
2-methylbutan-2-ol,mobley_9838013,-4.43,0.03,-4.43,0.60,6.347123769985941,0.34541016542486996
3-methylhexane,mobley_9883303,2.71,0.02,2.71,0.60,-1.453882383327868,0.3191672891995556
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",mobley_9897248,-4.78,0.02,-4.78,0.25,-63.268976208519696,0.43479813409295437
"(E)-1,2-dichloroethylene",mobley_9913368,-0.78,0.02,-0.78,0.60,2.49650897686767,0.250698397068009
1-ethyl-4-methyl-benzene,mobley_9942801,-0.95,0.02,-0.95,0.60,-0.8907538406273754,0.37855314010407454
bromoethane,mobley_994483,-0.74,0.02,-0.74,0.60,-0.1513485906324924,0.21922001218104537
2-isopropylsulfanylpropane,mobley_9974966,-1.21,0.02,-1.21,0.60,1.4562965283054732,0.4005306381942912
111-trifluoropropan-2-ol,mobley_9979854,-4.20,0.10,-4.20,0.20,-24.68973979798063,0.5227862449661723
