nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol),metode 2 (kcal/mol),incertesa metode 2 (kcal/mol)
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",mobley_667278,-4.40,0.08,-4.40,0.10,-14.549481524055675,0.4041530246012475,-7.0858752954622055,0.649876096215979
"3,5-dichloro-2,6-dimethoxyphenol",mobley_6688723,-6.44,0.02,-6.44,0.38,-24.063451139723863,0.7686476384446133,-7.171492626739182,0.7591908545091751
methanamine,mobley_6714389,-4.55,0.01,-4.55,0.60,-1.4572853186106876,0.33050683611906095,-0.8810884284034408,0.33914602792272824
2-(nitrooxy)ethan-1-ol,mobley_6727159,-8.18,0.03,-8.18,0.10,-12.653814818979367,0.46703179000239287,-3.7181532148708243,0.3788888260928603
"1,4-dioxane",mobley_6739648,-5.06,0.02,-5.06,0.60,0.3316288083989818,0.3479977814006557,-3.6584248225809457,0.3220514472174661
"3,4-dimethylphenol",mobley_6743808,-6.50,0.03,-6.50,0.60,-1.0699287808167943,0.444806103021678,-3.708964765435386,0.4884209716500861
tetrafluoromethane,mobley_676247,3.12,0.01,3.12,0.60,1.400775797335725,0.17716528886163768,2.015261974185221,0.25657117851573136
"1,2,4,5-tetrachlorobenzene",mobley_6804509,-1.34,0.02,-1.34,0.60,-5.549749418217052,0.3153542451755357,-1.8105703173449483,0.34299287215188823
hexane,mobley_6812653,2.48,0.02,2.48,0.60,0.8210420864289043,0.2527014004081097,2.1823746016310777,0.3422461906332563
"1,2,2-trifluoroethoxybenzene",mobley_6843802,-1.29,0.02,-1.29,0.60,-5.443119411330502,0.40636264396705607,-6.772951946008249,0.47418719714553176
isopropyl formate,mobley_6854178,-2.02,0.02,-2.02,0.60,-3.075641333313481,0.3490688214992505,-10.719284896596456,0.37841460740835725
fenuron,mobley_6861308,-9.13,0.04,-9.13,1.93,-22.63526638356018,0.6399401512546741,-24.348047827941347,0.6287502699635992
3-methylheptane,mobley_6896128,2.97,0.03,2.97,0.60,1.6102192393703723,0.3511280946267217,2.9160626315876215,0.40265017130175873
methoxyethane,mobley_6911232,-2.10,0.02,-2.10,0.60,0.28777224139880364,0.2691799244551798,0.9667982513334782,0.3906584884403312
2-methoxyethanamine,mobley_6917738,-6.55,0.03,-6.55,0.60,-10.138645925229481,0.379629972218362,1.1860752730842812,0.4864889829822976
methyl 2-chloroacetate,mobley_6929123,-4.00,0.02,-4.00,0.60,-9.669996141879526,0.3564586314621827,-7.465547704513326,0.36683289531695
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",mobley_6935906,-2.49,0.02,-2.49,0.85,-18.586670511800108,0.5580068103428301,-33.98345002795036,0.6106706297465169
ethyl acetate,mobley_6973347,-2.94,0.02,-2.94,0.60,-6.898368938086322,0.36112878712270874,-8.558496493936987,0.3662756573251194
2-ethylpyridine,mobley_6988468,-4.33,0.02,-4.33,0.60,-8.429394622540158,0.36682543538221407,-8.355410926091501,0.40417542185005056
"3,5-dimethylphenol",mobley_7009711,-6.27,0.03,-6.27,0.60,10.539091565168643,0.43077432343010386,-3.772292466824224,0.4664324509091555
cyclohexanol,mobley_7010316,-5.46,0.02,-5.46,0.60,-3.76682625782682,0.35551134329033285,-3.343736541158466,0.4632854043016822
methoxymethane,mobley_7015518,-1.91,0.02,-1.91,0.60,-0.34245525323368337,0.2697657282086523,1.048369505137706,0.28873470089363246
phenanthrene,mobley_7017274,-3.88,0.03,-3.88,0.60,-28.771882310883655,0.5625995633455122,-21.48880668451411,0.6280300042233197
2-chloro-2-methyl-propane,mobley_7047032,1.09,0.02,1.09,0.60,4.895271501706038,0.27988823788301886,3.0677304754487227,0.35607321338485376
3-chloroprop-1-ene,mobley_7099614,-0.57,0.02,-0.57,0.60,0.5327056863024128,0.23739698712881754,3.2731479631621956,0.3901744790558546
isohexane,mobley_7106722,2.51,0.02,2.51,0.60,3.640750012101174,0.31696836760989927,1.7737242953967263,0.3108073296860718
pentan-1-amine,mobley_7142697,-4.09,0.02,-4.09,0.60,-4.765183425910619,0.35715429437105345,-6.59529731088379,0.4246945988777153
"1,4-dibromobenzene",mobley_7150646,-2.30,0.02,-2.30,0.60,-3.877563887803592,0.3473289842352919,-1.2579367644193802,0.4077783108753734
1-chloroheptane,mobley_7157427,0.29,0.03,0.29,0.60,-1.3696479145030467,0.35852914710883427,3.4206198867148254,0.34978612447472784
3-nitrophenol,mobley_7176290,-9.62,0.03,-9.62,0.60,-7.072156747442918,0.5802397597562458,-5.474731004868549,0.5110691227676694
2-fluorophenol,mobley_7200804,-5.29,0.03,-5.29,0.60,-14.792407239625199,1.538315589219893,-0.3571529922579768,0.5387346912039577
hexanamide,mobley_7203421,-9.31,0.03,-9.31,0.60,-16.75097736105337,0.49019552701048075,-17.732200623687053,0.49279299517186614
pentan-3-ol,mobley_7227357,-4.35,0.02,-4.35,0.60,-6.5107953250591555,0.35418877898900514,-2.295649088288034,0.36656577133920654
1-chlorodibenzo-p-dioxin,mobley_7239499,-3.52,0.02,-3.52,0.10,-18.865176476038723,0.3937307673638265,-3.428932266250672,0.5545825228898132
hydrazine,mobley_7261305,-9.30,0.02,-9.30,0.60,-4.859631031530511,0.30794620550163665,-1.9703611796856386,0.3876056710629485
anisole,mobley_7295828,-2.45,0.02,-2.45,0.60,-6.64977621891877,0.3333906329576106,-3.2260175297839857,0.4245608848626023
1-methyl-3-nitro-benzene,mobley_7298388,-3.45,0.02,-3.45,0.60,-14.972602235454774,0.36091496586971633,-9.269123349373253,0.4122765656862058
propan-2-ol,mobley_7326982,-4.74,0.02,-4.74,0.60,9.25287050109106,0.3213645021463799,4.053354530571995,0.39615619689306564
undecan-2-one,mobley_7375018,-2.15,0.03,-2.15,0.60,-8.801252971489564,0.5608820547187356,-5.236312839673085,0.47479577956563257
caffeine,mobley_7378987,-12.64,0.07,-12.64,0.74,-79.17288298939783,0.6516314907525743,-133.65007159956582,25.713598282306723
methyl 4-methoxybenzoate,mobley_7393673,-5.33,0.03,-5.33,0.60,-42.66577856395086,0.5174705016154925,-38.47743098586414,0.6467654047340836
"N,N-dimethyl-4-nitro-benzamide",mobley_7415647,-11.95,0.04,-11.95,0.60,-62.10550773029059,0.5463929979184069,-39.21241136459166,0.6854778365558576
2-ethoxyethyl acetate,mobley_7417968,-5.31,0.02,-5.31,0.10,-10.16795357704082,0.3940706990215545,-3.5749341288229726,0.46653468907016304
isobutyl formate,mobley_7455579,-2.22,0.02,-2.22,0.60,-12.139652865194574,0.3606181030378882,-6.652494013312952,0.40819126511004983
"N-(3,4-dichlorophenyl)propanimidic acid",mobley_7463408,-7.78,0.04,-7.78,1.93,-16.895888657560214,0.5180706469023373,-19.679208413066583,0.5816658793213665
3-phenylpropan-1-ol,mobley_7463799,-6.92,0.03,-6.92,0.60,-6.388529298834326,0.6409920254572621,-6.128944374589979,1.0754955498541863
1-phenylethanone,mobley_7497999,-4.58,0.03,-4.58,0.60,-17.82760106622267,0.4421149051756227,-17.10209387027378,0.4768074906799682
acetonitrile,mobley_7532833,-3.88,0.01,-3.88,0.60,-2.6633278145008346,0.26548381624510925,-0.44233145333267,0.27933472197490467
propyl acetate,mobley_7573149,-2.79,0.02,-2.79,0.60,-8.87826881531469,0.35991184827882544,-9.222388805757532,0.37792983031687605
bromoform,mobley_7578802,-2.13,0.02,-2.13,0.60,-0.6863052604132056,0.23580073279218822,2.6041552383678326,0.3012856547078029
bromobenzene,mobley_7599023,-1.46,0.02,-1.46,0.60,-1.00981701698175,0.34161079978663655,0.26837207036279986,0.346445476047497
methyl octanoate,mobley_7608435,-2.04,0.03,-2.04,0.60,-18.97891454616194,0.4955412971888418,-13.217064205612129,0.5527854657278191
chlorobenzene,mobley_7608462,-1.12,0.02,-1.12,0.60,-3.7490446210841473,0.28993091771810997,0.381995665196738,0.3837140362892758
"1,1,2-trichloroethylene",mobley_766666,-0.44,0.02,-0.44,0.60,-0.9974786107970746,0.2094851131682843,2.8480447035323864,0.3019913578703767
6-isopropyl-3-methyl-1-cyclohex-2-enone,mobley_7676709,-4.51,0.02,-4.51,0.10,-11.710406525899351,0.5214580259516158,-18.273814015384104,0.45619537611930516
3-hydroxybenzaldehyde,mobley_7688753,-9.52,0.03,-9.52,1.90,-10.854209815500816,0.5041971813625026,-2.8750825651970793,0.5512564383377891
methyldisulfanylmethane,mobley_7690440,-1.83,0.02,-1.83,0.60,0.4023712682120766,0.28230071797406564,0.6561814069929714,0.34577396207208894
1-bromopropane,mobley_7708038,-0.56,0.02,-0.56,0.60,-0.3616172708115797,0.24839015010245666,3.9413544532504075,0.3632698829898799
bromo-trifluoro-methane,mobley_7732703,1.79,0.02,1.79,0.60,1.7751072544033653,0.2528881013697846,4.750790545804122,0.3030750989930723
imidazole,mobley_7735340,-9.63,0.03,-9.63,0.60,-6.267535275848242,0.3887963187274529,-6.729997059466513,0.29999455046909357
propionic acid,mobley_7758918,-6.46,0.03,-6.46,0.60,-11.725840526495215,0.407966582545694,-5.126219821092761,0.42124654011489404
1-bromo-2-chloro-ethane,mobley_7768165,-1.95,0.02,-1.95,0.60,-0.29957721682964716,0.31684551946116,3.539899131124465,0.3810008035163397
2-bromo-2-methyl-propane,mobley_7769613,0.84,0.02,0.84,0.60,4.050596131407621,0.28807797681225716,3.238976563656408,0.3250996551852368
N-methylaniline,mobley_7774695,-4.69,0.03,-4.69,0.60,-0.7238381921772183,0.40321498169996145,-4.254034418361193,0.4289272446659635
2-methylbut-2-ene,mobley_778352,1.31,0.02,1.31,0.60,4.560850111085884,0.27476019763262166,5.224994469414409,0.3395589031755667
5-trifluoromethyluracil,mobley_7794077,-15.46,0.07,-15.46,0.16,-12.76634440865729,15.99642423909348,-107.30408224083835,9.493495472646604
"1,2,4-trichlorobenzene",mobley_7814642,-1.12,0.02,-1.12,0.60,-3.2827926833694265,0.28982194872496175,0.5756730941879122,0.31618508583918475
heptanal,mobley_7859387,-2.67,0.03,-2.67,0.60,-5.006755764040554,0.4168675713261225,-4.153941074986935,0.481934200379346
N-butylbutan-1-amine,mobley_7860938,-3.24,0.03,-3.24,0.60,0.8342533374213881,0.3881310222561907,-0.07538007096053345,0.5180256355889536
[(2S)-butan-2-yl] nitrate,mobley_7869158,-1.82,0.02,-1.82,0.10,-9.257576233153147,0.3856934017196814,-3.7210262821215805,0.4534029054203683
tert-butylbenzene,mobley_7893124,-0.44,0.03,-0.44,0.60,-7.240417348503347,0.3414015591588029,-9.21982750702811,0.4754754680300514
butyl paraben,mobley_7912193,-8.72,0.06,-8.72,0.27,-40.482682765294584,0.5940418687822984,-38.17147515012005,1.0024583616337561
ethyl propanoate,mobley_7943327,-2.68,0.02,-2.68,0.60,-17.379286507478326,0.43657720444215875,-13.51784179527397,0.3972264221304835
hexan-3-ol,mobley_7977115,-4.06,0.02,-4.06,0.60,-5.719443398541124,0.32360143686376913,-3.0998619958382645,0.4282616994191203
2-methylbutan-1-ol,mobley_7983227,-4.42,0.02,-4.42,0.60,-6.644391412021428,0.32860540633831037,0.19039221801685668,0.561388685783594
cyclopentane,mobley_8006582,1.20,0.02,1.20,0.60,4.141956207417458,0.2605606487146928,2.9138454774665923,0.277887750238914
"N,N-dimethylformamide",mobley_8011706,-7.81,0.03,-7.81,0.60,-18.984448423013735,0.35511890611197305,-9.47482178004423,0.3652602931840602
acetamide,mobley_8048190,-9.71,0.03,-9.71,0.60,4.535503535046333,0.35545074446836505,-1.1152778934521181,0.3568234651805187
3-chlorophenol,mobley_8057732,-6.62,0.03,-6.62,0.60,4.261753770474202,0.4563004422887473,-1.050526516381888,0.3983956278545796
endrin,mobley_8117218,-4.82,0.07,-4.82,0.10,-82.1185157761805,0.506657459986824,-83.80127069394948,0.5042206099823727
prop-2-en-1-ol,mobley_8118832,-5.03,0.03,-5.03,0.60,-0.20577654721631689,0.3695513430040016,3.688350820752001,0.40436143064996555
ethylbenzene,mobley_8127829,-0.79,0.02,-0.79,0.60,-3.65554710022624,0.3237212890128149,-4.3455484693321385,0.40316841868855935
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",mobley_819018,-4.45,0.02,-4.45,0.24,-3.562885508474926,0.46723437223466746,-1.7347530552266068,0.4848291605040647
"2-chloro-1,1,1-trifluoro-ethane",mobley_8191186,0.06,0.02,0.06,0.60,-0.8972477268977621,0.2452733777813472,-1.412842413290204,0.2441037477242384
butyric acid,mobley_820789,-6.35,0.03,-6.35,0.60,-11.680029026979767,0.40368769378412805,-11.042519374993262,0.4036611221613172
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",mobley_8208692,-4.61,0.05,-4.61,0.25,-9.73252003103893,0.630076778230452,-5.5370109524119115,1.4752352258422812
butanenitrile,mobley_8221999,-3.64,0.02,-3.64,0.60,-5.55711948691743,0.2915041517762794,-2.284908821309873,0.3280130971212525
prop-1-yne,mobley_8260524,-0.48,0.01,-0.48,0.60,1.8370816792749034,0.21301287843010788,2.3943133696791583,0.26058383010143904
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",mobley_8311303,-4.38,0.04,-4.38,0.22,-15.658743974272882,0.476735818142241,-8.479155542127081,0.5771890701750249
chloro-difluoro-methane,mobley_8311321,-0.50,0.02,-0.50,0.60,0.8411318275824247,0.24519446863740563,0.6037382848622226,0.27025741104737316
1-nitroethane,mobley_8320545,-3.71,0.02,-3.71,0.60,-7.233664618596359,0.2616095720339291,-0.7251692395201149,0.260714827594626
"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",mobley_8337722,-3.20,0.02,-3.20,0.28,-27.883696128176442,3.815102731455388,-12.548162717817167,0.6375673901578591
4-methylpentan-2-one,mobley_8337977,-3.05,0.02,-3.05,0.60,-5.3085385149520405,0.40033621848545226,-4.826431324533858,0.4056636022282365
N-ethylethanamine,mobley_8426916,-4.07,0.02,-4.07,0.60,6.822577837640517,0.3202198030398952,1.067556913718346,0.3385447894159155
propionamide,mobley_8427539,-9.40,0.10,-9.40,0.20,-9.26842468905743,0.4663019403103839,-5.144137041982958,0.4371514051356501
"2,4-dimethylpentane",mobley_8436428,2.83,0.03,2.83,0.60,-2.241221197661421,0.27528017317856407,0.943134661515586,0.3817124649721069
"N,N-diethylethanamine",mobley_8449031,-3.22,0.03,-3.22,0.60,3.916364079819707,0.4715997992293587,-0.08234739072485375,0.39844545257787867
hept-2-ene,mobley_8467917,1.68,0.02,1.68,0.60,-0.1361333235350699,0.3159381172540243,4.347499796805068,0.37862765179009805
pentanal,mobley_8492526,-3.03,0.02,-3.03,0.60,-4.042101705758393,0.3896385562830683,-2.3535627339822236,0.39938818611797827
pentyl acetate,mobley_8514745,-2.51,0.03,-2.51,0.60,-10.975069637510932,0.40259561665071336,-10.558405517859615,0.4981991516907852
oct-1-yne,mobley_8522124,0.71,0.03,0.71,0.60,0.21046710063316576,0.3682621780962267,1.8356452435465536,0.42893291954670654
1-iodopentane,mobley_8525830,-0.14,0.02,-0.14,0.60,0.8386422612781157,0.3509386721951353,-0.732581158758091,0.3277191591610333
4-fluorophenol,mobley_852937,-6.19,0.03,-6.19,0.60,0.6771180284386569,0.511908968315168,6.955947252447786,0.4658168145866869
4-methylmorpholine,mobley_8558116,-6.32,0.03,-6.32,0.60,0.36972238565613946,0.4451826585568262,-1.4078616954419567,0.4258311169489742
butanal,mobley_8573194,-3.18,0.02,-3.18,0.60,-5.989900501981527,0.2953607952345205,-5.091410631820981,0.359774393389635
methylsulfinylmethane,mobley_8578590,-9.28,0.03,-9.28,0.57,-2.028569004340489,0.3441428140860744,-4.332524535558602,0.34559981466441425
isobutyl acetate,mobley_859464,-2.36,0.02,-2.36,0.60,-14.398924200377508,0.3839593044982523,-6.83303453268232,0.4205327464771094
heptane,mobley_8614858,2.67,0.02,2.67,0.60,2.487446913970479,0.36749641133754224,3.5841034104876766,0.41160428436798124
"2,3-dimethylpentane",mobley_8668219,2.52,0.03,2.52,0.60,-2.1867467237861056,0.2708287647593845,1.489869008666863,0.3594876659538192
"2-bromo-1,1,1,2-tetrafluoro-ethane",mobley_8685905,0.50,0.02,0.50,0.60,-0.18857206709799573,0.2707654574883335,0.06559220853413905,0.30506344322018897
"N,N-dipropyl(propylsulfanyl)formamide",mobley_8713762,-4.13,0.04,-4.13,1.36,-40.745627194494595,0.578295287870083,-20.477923952479827,0.6328682144088307
4-chloroaniline,mobley_8723116,-5.90,0.02,-5.90,0.60,2.1230151527575427,0.39086046952251496,0.380732022773572,0.4127131473589113
3-methylbutan-2-one,mobley_8739734,-3.24,0.02,-3.24,0.60,104.07756939502613,0.3294030161703659,-6.6985448987578184,0.40404547518780465
propyl formate,mobley_8754702,-2.48,0.02,-2.48,0.60,-10.543318804909934,0.38014144755542245,-5.744617446731567,0.4471298511931675
pyridine-3-carbonitrile,mobley_8764620,-6.75,0.02,-6.75,0.60,-17.75765748417595,0.3882907352360156,-21.732764851878088,0.36706464636634617
isoprene,mobley_8765203,0.68,0.02,0.68,0.60,2.0917434467082647,0.3166330006612647,3.8592171632474415,0.33394368852682466
1-iodobutane,mobley_8772587,-0.25,0.02,-0.25,0.60,1.6482086787382684,0.3319863059277714,2.5174128374318965,0.3243969514908758
"2,5-dimethyltetrahydrofuran",mobley_8785107,-2.92,0.02,-2.92,0.60,0.395636296465538,0.3348521174064931,-1.7771383840005925,0.3308195273203097
2-iodophenol,mobley_8789465,-6.20,0.03,-6.20,0.60,-10.236026665199699,0.494983688628539,-8.867329179175877,1.022802130696257
pyridine-4-carbaldehyde,mobley_8798016,-7.00,0.03,-7.00,0.60,-12.341974390753471,0.38408221514321633,13.874321074164758,0.48528102677056617
butylbenzene,mobley_8809190,-0.40,0.02,-0.40,0.60,-5.558097172883104,0.3880814029770626,-5.165704913720514,0.4435940808681788
trifluoromethylbenzene,mobley_8809274,-0.25,0.02,-0.25,0.60,-17.991210314187,0.36271892879889867,-15.002613781581378,0.4084806380481872
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",mobley_8823527,-3.61,0.03,-3.61,0.13,-12.4637571550791,0.4446481334976563,-5.828363345063191,0.5443572908398471
"1,2,4-trichlorodibenzo-p-dioxin",mobley_8827942,-4.05,0.03,-4.05,0.10,-15.081222973082879,0.3674111913774131,-3.953072111591398,0.48856124738493156
"2,4-dimethylpyridine",mobley_8861672,-4.86,0.02,-4.86,0.60,13.428552428243083,0.5139432814841504,-4.596426757460097,0.46111529915251936
tetrahydrofuran,mobley_8882696,-3.47,0.02,-3.47,0.60,-0.24634503712100358,0.2716895170918725,1.5498813040447168,0.3525865629753414
2-methylbenzaldehyde,mobley_8883511,-3.93,0.02,-3.93,0.10,-10.369700270291911,0.4429243136841308,-17.725573927926177,0.42576606400946027
cyclopentene,mobley_8885088,0.56,0.02,0.56,0.60,6.0581107352340915,0.31202986792273274,3.283511051648491,0.23353628825134573
cyclopentanol,mobley_8899867,-5.49,0.02,-5.49,0.60,1.9775337535079984,0.4045549023075736,1.9054771426571664,0.44048544031442605
2-methylpyrazine,mobley_8966374,-5.51,0.03,-5.51,0.60,-7.044135781813008,0.35215036818354534,-4.498059355264865,0.42902431608194946
bromomethane,mobley_8983100,-0.82,0.01,-0.82,0.60,0.3275926014875471,0.23221686847008458,2.4011054128109217,0.29157880990082524
"2,3-dimethylbuta-1,3-diene",mobley_900088,0.40,0.02,0.40,0.60,-0.02462120341286833,0.25325512794892824,4.537772498057619,0.31726856997040326
1-bromooctane,mobley_9015240,0.52,0.03,0.52,0.60,-1.1010570522562557,0.456199434740578,5.281650145813821,0.43400100490862825
"methyl 2,2,2-trifluoroacetate",mobley_9028462,-1.10,0.02,-1.10,0.60,-9.75900854116739,0.3200159525841263,0.11981985802423445,0.3222676868019481
butyl nitrate,mobley_902954,-2.09,0.02,-2.09,0.10,-8.527121996847583,0.3287879241199355,-5.771133251409209,0.4659095339707518
fluoromethane,mobley_9029594,-0.22,0.01,-0.22,0.60,0.7723500722046077,0.1823646605124822,2.243658046087715,0.2164328247522797
methane,mobley_9055303,2.00,0.10,2.00,0.20,2.533473446684601,0.18485521938153104,3.265800720148767,0.2125943597235638
methylsulfanylmethane,mobley_9073553,-1.61,0.02,-1.61,0.60,2.043882448699746,0.23396941739845264,2.2056693160882377,0.2570409299997679
methylcyclohexane,mobley_9100956,1.70,0.02,1.70,0.60,2.2394344681277687,0.26703749169618574,1.1260735591686184,0.32665076605358473
pent-2-ene,mobley_9112978,1.31,0.02,1.31,0.60,4.072494725217,0.34266355413263133,3.399621190471505,0.2929885521514346
methyl 2-cyanoacetate,mobley_9114381,-6.72,0.02,-6.72,0.60,-8.418228779326338,0.38419857535958785,-22.788245943847855,0.41181619007133285
but-1-yne,mobley_9121449,-0.16,0.02,-0.16,0.60,1.5005443799230829,0.2663706720612974,1.8267711261404922,0.2781053602871753
"1,4-dimethylcyclohexane",mobley_9139060,2.11,0.02,2.11,0.60,0.376315091717359,0.35064279870572956,-1.5985854562287223,0.3337610688886497
propan-1-amine,mobley_9185328,-4.39,0.02,-4.39,0.60,-0.044236567522832004,0.38698565091225307,0.6464832718259184,0.3297137643291472
oct-1-ene,mobley_9197172,1.92,0.03,1.92,0.60,-0.4370899102481687,0.36649463013424444,2.885211456945408,0.4101651996967541
methyl methanesulfonate,mobley_9201263,-4.87,0.03,-4.87,0.60,-17.986180315403775,0.43459284965334505,-8.960822298615579,0.4747888695309136
"N,N-dimethylmethanamine",mobley_9209581,-3.20,0.02,-3.20,0.60,-0.3039329888038377,0.27209214701389356,-1.0301727282855808,0.3066845503028421
"penta-1,4-diene",mobley_9246215,0.93,0.02,0.93,0.60,0.8186565913150574,0.2782301159307839,3.595129939410527,0.36847377370233025
dibromomethane,mobley_9246351,-1.96,0.02,-1.96,0.60,-1.4951651571966686,0.2066062214516562,2.0306761183270257,0.2592465331932852
"3,4-dichlorophenol",mobley_9257453,-7.29,0.02,-7.29,0.10,4.941413249089186,0.4176193542740672,-1.8354151734623283,0.422426594895572
1-bromohexane,mobley_929676,0.18,0.02,0.18,0.60,1.1783075310298123,0.2901137002070228,2.1112295903519716,0.4073768523501789
octan-2-one,mobley_9407874,-2.88,0.03,-2.88,0.60,-7.45887222753319,0.36641120611656414,-3.843851644010207,0.5079031647057307
1-methylnaphthalene,mobley_9414831,-2.44,0.02,-2.44,0.60,-18.51540872615422,0.3478846727435443,-11.184423175842909,0.46385021366832885
2-bromopropane,mobley_9434451,-0.48,0.02,-0.48,0.60,2.865198396553488,0.25614708481515985,3.882410480748106,0.30118263067554873
o-xylene,mobley_9478823,-0.90,0.02,-0.90,0.60,-2.947466566990736,0.38841477879778435,-4.490111889359091,0.39903162274089615
"2,5-dimethylpyridine",mobley_9507933,-4.72,0.02,-4.72,0.60,-67.5432406817633,0.3683226733032561,-5.297300648870245,0.39638501794369874
"1,2,3,4-tetrachloro-5-phenyl-benzene",mobley_9510785,-3.48,0.03,-3.48,1.00,-12.090507976858579,0.4279222709065377,-7.570187541684484,0.7447384621980551
piperazine,mobley_951560,-7.40,0.03,-7.40,0.60,-33.28064093517412,0.4029638323156018,-18.50299972630187,0.40805823977958444
5-chlorouracil,mobley_9557440,-17.74,0.06,-17.74,0.78,-10.047609726702127,0.541688117335247,-36.09027704920172,0.49235249404706427
9H-fluorene,mobley_9565165,-3.35,0.02,-3.35,0.60,-19.047937517984913,0.5551950652335936,-12.397849514054371,0.5564554195205653
endosulfan alpha,mobley_9571888,-4.23,0.04,-4.23,0.26,-24.471594599379372,0.6064018838617933,-20.297645682914244,0.5183940371402128
decan-2-one,mobley_9617923,-2.34,0.03,-2.34,0.60,-10.671574992909207,0.3777731442456404,-5.202643674322812,0.53511111531729
"1,3-dichloropropane",mobley_9624458,-1.89,0.02,-1.89,0.60,-4.52909353806092,0.2812407504355861,-3.5136217057279744,0.3825526294119868
2-ethoxyethanol,mobley_9626434,-6.69,0.03,-6.69,0.60,-6.082241283804308,0.46633037956116935,2.0288777173851287,0.5136579820723883
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",mobley_9653690,-4.44,0.02,-4.44,0.43,-22.879878938884065,0.4683003661538161,-12.484339596294282,0.47339390157339156
2-nitropropane,mobley_967099,-3.13,0.02,-3.13,0.60,-9.906826991144488,0.33551503807322147,-2.9059666597524316,0.3239844688042613
1-nitropropane,mobley_9671033,-3.34,0.02,-3.34,0.60,-5.703164673227777,0.2935095898559699,-2.47499456936308,0.2931323019996796
2-methylthiophene,mobley_9705941,-1.38,0.02,-1.38,0.60,2.332363426668383,0.30460760874947235,2.503384556315809,0.3449016151461285
1-chloro-2-phenyl-benzene,mobley_9717937,-2.69,0.03,-2.69,0.10,-15.099269761266715,0.5127137373334592,-16.739989665874326,0.48177393568738247
"cyclohepta-1,3,5-triene",mobley_9729792,-0.99,0.02,-0.99,0.60,-1.6688413596832488,0.3629658565320694,-0.88471370895148,0.36254883213931466
butan-1-amine,mobley_9733743,-4.24,0.02,-4.24,0.60,-2.5060893090935097,0.412593623903101,-1.2571793286505288,0.365028669300094
dichlobenil,mobley_9740891,-4.71,0.02,-4.71,1.93,-5.85600051453746,0.3599154101819523,-10.321842381775099,0.4376786586912693
"1,3-bis-(nitrooxy)butane",mobley_9741965,-4.29,0.02,-4.29,0.39,-13.699535649791697,0.48200010367436597,-19.522284805591006,0.5208421539544987
2-methoxy-2-methyl-propane,mobley_9794857,-2.21,0.02,-2.21,0.60,3.005548935955888,0.3123135575074546,0.6947328998715658,0.37939089746778476
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",mobley_9821936,-4.53,0.04,-4.53,1.00,-12.328639440997968,0.4820069694873794,-4.08786399320747,0.540343701668135
2-methylbutan-2-ol,mobley_9838013,-4.43,0.03,-4.43,0.60,7.434794698836411,0.36378932366236716,3.765957872431212,0.38542354981597043
3-methylhexane,mobley_9883303,2.71,0.02,2.71,0.60,0.046613306944745636,0.3379672395816802,-1.3099133140062418,0.3897076743116575
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",mobley_9897248,-4.78,0.02,-4.78,0.25,-62.88144567273172,0.4309563988821729,-7.637630595548444,0.5527412789273332
"(E)-1,2-dichloroethylene",mobley_9913368,-0.78,0.02,-0.78,0.60,1.5741353707743895,0.22591861137845792,1.7964030179966082,0.28394633323639284
1-ethyl-4-methyl-benzene,mobley_9942801,-0.95,0.02,-0.95,0.60,-3.3161232616796434,0.3838071579342515,-0.356314333969153,0.4021583221319121
bromoethane,mobley_994483,-0.74,0.02,-0.74,0.60,1.0209416964764608,0.255027376908195,3.1712268944148403,0.34223812299451045
2-isopropylsulfanylpropane,mobley_9974966,-1.21,0.02,-1.21,0.60,3.281117843413271,0.30982334606776557,-1.4386511413036267,0.4353843522746029
111-trifluoropropan-2-ol,mobley_9979854,-4.20,0.10,-4.20,0.20,-22.868537714304225,0.7557472686225886,-3.5664387797027004,0.6170807258189885
